"timestamp","count","uniques","date_retrieved"
"2021-01-11T00:00:00Z",6,4,2021-01-11
"2021-01-11T00:00:00Z",7,5,2021-01-11
"2021-01-11T00:00:00Z",12,7,2021-01-12
"2021-01-11T00:00:00Z",12,7,2021-01-13
"2021-01-13T00:00:00Z",3,1,2021-01-13
"2021-01-11T00:00:00Z",12,7,2021-01-14
"2021-01-13T00:00:00Z",3,1,2021-01-14
"2021-01-14T00:00:00Z",1,1,2021-01-14
"2021-01-11T00:00:00Z",12,7,2021-01-15
"2021-01-13T00:00:00Z",3,1,2021-01-15
"2021-01-14T00:00:00Z",1,1,2021-01-15
"2021-01-11T00:00:00Z",12,7,2021-01-16
"2021-01-13T00:00:00Z",3,1,2021-01-16
"2021-01-14T00:00:00Z",1,1,2021-01-16
"2021-01-16T00:00:00Z",2,1,2021-01-16
"2021-01-11T00:00:00Z",12,7,2021-01-17
"2021-01-13T00:00:00Z",3,1,2021-01-17
"2021-01-14T00:00:00Z",1,1,2021-01-17
"2021-01-16T00:00:00Z",2,1,2021-01-17
"2021-01-11T00:00:00Z",12,7,2021-01-18
"2021-01-13T00:00:00Z",3,1,2021-01-18
"2021-01-14T00:00:00Z",1,1,2021-01-18
"2021-01-16T00:00:00Z",2,1,2021-01-18
"2021-01-17T00:00:00Z",2,1,2021-01-18
"2021-01-18T00:00:00Z",2,1,2021-01-18
"2021-01-11T00:00:00Z",12,7,2021-01-19
"2021-01-13T00:00:00Z",3,1,2021-01-19
"2021-01-14T00:00:00Z",1,1,2021-01-19
"2021-01-16T00:00:00Z",2,1,2021-01-19
"2021-01-17T00:00:00Z",2,1,2021-01-19
"2021-01-18T00:00:00Z",2,1,2021-01-19
"2021-01-11T00:00:00Z",12,7,2021-01-20
"2021-01-13T00:00:00Z",3,1,2021-01-20
"2021-01-14T00:00:00Z",1,1,2021-01-20
"2021-01-16T00:00:00Z",2,1,2021-01-20
"2021-01-17T00:00:00Z",2,1,2021-01-20
"2021-01-18T00:00:00Z",2,1,2021-01-20
"2021-01-20T00:00:00Z",2,1,2021-01-20
"2021-01-11T00:00:00Z",12,7,2021-01-21
"2021-01-13T00:00:00Z",3,1,2021-01-21
"2021-01-14T00:00:00Z",1,1,2021-01-21
"2021-01-16T00:00:00Z",2,1,2021-01-21
"2021-01-17T00:00:00Z",2,1,2021-01-21
"2021-01-18T00:00:00Z",2,1,2021-01-21
"2021-01-20T00:00:00Z",2,1,2021-01-21
"2021-01-11T00:00:00Z",12,7,2021-01-22
"2021-01-13T00:00:00Z",3,1,2021-01-22
"2021-01-14T00:00:00Z",1,1,2021-01-22
"2021-01-16T00:00:00Z",2,1,2021-01-22
"2021-01-17T00:00:00Z",2,1,2021-01-22
"2021-01-18T00:00:00Z",2,1,2021-01-22
"2021-01-20T00:00:00Z",2,1,2021-01-22
"2021-01-11T00:00:00Z",12,7,2021-01-23
"2021-01-13T00:00:00Z",3,1,2021-01-23
"2021-01-14T00:00:00Z",1,1,2021-01-23
"2021-01-16T00:00:00Z",2,1,2021-01-23
"2021-01-17T00:00:00Z",2,1,2021-01-23
